Index;Sex;Country;Code;Year;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85 - 89;90 - 94;95 - 99;100+
75;m;Japan;392;1950;5699;4901;4452;4354;3844;2807;2372;2394;2205;2031;1720;1380;1107;799;543;269;126;;;;
75;m;Japan;392;1955;4864;5608;4883;4383;4220;3775;2778;2327;2340;2138;1937;1606;1225;915;595;344;173,001;;;;
75;m;Japan;392;1960;4079;4842;5548;4742;4134;4122;3761;2742;2296;2258;2057;1806;1446;1030;703;382;227,999;;;;
75;m;Japan;392;1965;4185;4071;4802;5437;4545;4187;4166;3743;2707;2229;2184;1930;1630;1216;787;451;261;;;;
75;m;Japan;392;1970;4550;4212;4054;4608;5328;4531;4202;4141;3679;2688;2166;2049;1761;1403;965;535;332,997;;;;
75;m;Japan;392;1975;5099;4566;4227;4069;4604;5383;4606;4210;4104;3609;2595;2072;1928;1563;1140;680;425;;;;
75;m;Japan;392;1980;4407,065;5119,698;4582,225;4219,839;3993,499;4591,879;5385,678;4580,807;4162,727;4018,686;3498,031;2490,654;1947,969;1736,879;1310,324;840,974;581,226;;;;
75;m;Japan;392;1985;3814,195;4367,498;5140,524;4594,212;4160,759;3943,033;4552,266;5391,209;4546,273;4086,852;3921,06;3404,711;2377,005;1778,76;1502,107;1015,72;796,998;;;;
75;m;Japan;392;1990;3363,761;3864,518;4425,084;5117,087;4472,082;4089,695;3972,124;4584,929;5330,188;4481,476;4011,168;3780,212;3201,135;2181,49;1563,923;1192,944;1026,427;;;;
75;m;Japan;392;1995;3072,029;3352,024;3829,478;4388,652;5044,535;4455,045;4116,547;3948,397;4530,322;5331,83;4424,687;3909,183;3614,317;3000,673;1942,832;1261,238;825,033;362,194;100,285;15,715;1,206
75;m;Japan;392;2000;3109,086;3072,165;3352,356;3838,717;4402,024;5052,7;4457,214;4109,008;3928,661;4483,612;5232,151;4289,864;3725,427;3346,898;2651,686;1591,35;899,134;465,646;143,999;24,215;1,906
75;m;Japan;392;2005;3014,676;3109,536;3072,97;3362,557;3854,557;4413,266;5053,713;4449,462;4090,417;3893,212;4409,642;5090,844;4111,559;3480,254;2998,307;2217,312;1174,393;537,649;201,768;38,91;3,305
75;f;Japan;392;1950;5476;4771;4344;4283;3915;3379;2843;2687;2287;1998;1671;1375;1195;980;747;421;250;;;;
75;f;Japan;392;1955;4655;5385;4758;4320;4231;3846;3330;2793;2631;2230;1927;1597;1274;1047;801;536;343;;;;
75;f;Japan;392;1960;3928;4657;5372;4648;4227;4152;3758;3286;2745;2575;2147;1874;1497;1136;881;586;451;;;;
75;f;Japan;392;1965;4018;3927;4643;5339;4624;4234;4127;3762;3237;2691;2492;2067;1725;1341;958;646;519;;;;
75;f;Japan;392;1970;4329;4028;3899;4530;5365;4588;4212;4105;3691;3213;2660;2392;1979;1593;1179;742;620,999;;;;
75;f;Japan;392;1975;4845;4336;4036;3938;4551;5330;4600;4205;4079;3681;3140;2591;2330;1864;1415;942;761;;;;
75;f;Japan;392;1980;4186,356;4865,444;4351,952;4044,872;3913,395;4539,769;5315,689;4590,064;4178,055;4042,303;3630,057;3077,549;2512,599;2204,344;1691,696;1175,941;1019,067;;;;
75;f;Japan;392;1985;3634,432;4152,64;4887,514;4373,302;4028,829;3869,073;4489,123;5331,834;4575,991;4137,662;4000,871;3584,509;3021,372;2408,311;2056,849;1473,743;1417,828;;;;
75;f;Japan;392;1990;3197,135;3678,202;4201,707;4870,658;4327,551;3996,468;3901,702;4530,015;5282,891;4526,816;4097,288;3933,177;3491,467;2889,054;2252,967;1806,334;1895,726;;;;
75;f;Japan;392;1995;2924,891;3190,465;3650,403;4171,687;4853,196;4335,501;4012,129;3875,951;4478,188;5289,402;4499,596;4046,378;3862,702;3396,968;2753,282;2028,415;1476,097;774,774;267,551;53,233;4,97
75;f;Japan;392;2000;2946,14;2926,033;3191,969;3664,207;4194,774;4871,481;4345,877;4013,732;3868,295;4455,338;5240,246;4436,395;3964,122;3738,831;3218,796;2503,39;1695,01;1052,058;419,748;98,29;11,507
75;f;Japan;392;2005;2856,789;2947,679;2927,847;3205,908;3687,76;4214,392;4881,818;4348,239;4008,116;3853,297;4421,72;5177,935;4358,758;3853,669;3567,748;2963,578;2144,011;1267,175;620,722;174,664;24,518
