Index;Sex;Country;Code;Year;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 - 84;85 - 89;90 - 94;95 - 99;100+
75;m;Japan;392;2010;2939,908;3015,527;3110,558;3084,03;3380,795;3868,706;4417,868;5045,233;4431,11;4057,045;3835,614;4301,78;4896,391;3860,703;3141,269;2534,739;1666,071;724,013;244,055;58,001;5,703
75;m;Japan;392;2015;2793,133;2941,092;3016,811;3122,054;3103,833;3397,186;3876,086;4413,63;5025,763;4398,099;4002,544;3750,558;4151,059;4618,972;3508,541;2682,333;1936,043;1055,584;342,372;74,019;9,104
75;m;Japan;392;2020;2637,259;2794,646;2942,569;3028,732;3142,554;3121,642;3406,753;3875,174;4399,644;4991,204;4344,116;3921,382;3629,614;3932,39;4223,661;3023,837;2080,677;1259,4;520,093;109,94;12,664
75;m;Japan;392;2025;2556,442;2639,054;2796,307;2954,81;3049,979;3160,936;3132,603;3408,46;3865,471;4372,909;4934,806;4263,122;3804,304;3451,305;3616,066;3670,932;2378,963;1386,73;644,69;176,257;19,864
75;m;Japan;392;2030;2560,022;2558,434;2640,878;2808,863;2976,669;3069,097;3172,397;3135,974;3402,141;3844,847;4328,13;4849,856;4144,936;3629,462;3189,854;3167,112;2925,124;1620,255;734,161;228,923;33,5
75;m;Japan;392;2035;2599,454;2562,141;2560,375;2653,707;2831,328;2996,399;3081,276;3176,34;3131,814;3386,384;3809,222;4259,798;4724,775;3966,455;3370,115;2813,696;2553,453;2031,805;884,063;271,679;46,957
75;m;Japan;392;2040;2626,523;2601,653;2564,145;2573,371;2676,635;2851,664;3009,165;3086,068;3172,88;3119,13;3357,934;3753,753;4157,311;4533,119;3698,004;2991,547;2292,919;1806,542;1141,718;341,507;60,021
75;m;Japan;392;2045;2596,307;2628,798;2603,7;2577,245;2596,619;2697,504;2865,075;3014,66;3083,699;3161,185;3095,247;3312,755;3669,295;3998,292;4241,871;3301,607;2461,822;1649,785;1042,993;458,89;79,337
75;m;Japan;392;2050;2503,966;2598,677;2630,886;2616,878;2600,702;2617,857;2711,494;2871,347;3013,18;3073,539;3138,73;3056,587;3242,861;3536,569;3753,92;3806,85;2740,861;1797,994;975,416;433,888;110,811
75;f;Japan;392;2010;2785,922;2858,841;2949,733;2942,268;3230,629;3709,035;4227,16;4885,181;4344,398;3996,305;3830,244;4377,386;5096,924;4247,391;3689,509;3304,763;2574,723;1656,009;797,736;284,848;48,815
75;f;Japan;392;2015;2646,972;2788,355;2861,107;2964,411;2967,697;3253,065;3723,412;4233,233;4882,465;4334,552;3976,939;3797,781;4316,339;4977,511;4079,48;3437,426;2908,198;2044,136;1098,041;395,035;88,064
75;f;Japan;392;2020;2499,424;2649,669;2790,745;2875,973;2990,165;2990,791;3268,516;3731,172;4233,539;4873,539;4317,032;3947,719;3750,196;4223,462;4794,654;3820,823;3058,951;2363,326;1416,282;581,617;137,054
75;f;Japan;392;2025;2423,032;2502,317;2652,161;2805,745;2902,013;3013,577;3006,89;3277,464;3733,466;4228,335;4856,76;4289,152;3902,837;3675,931;4079,43;4512,45;3433,681;2534,95;1696,724;791,59;216,259
75;f;Japan;392;2030;2426,63;2426,053;2504,887;2667,273;2831,992;2925,727;3029,983;3016,558;3281,183;3730,766;4216,497;4828,85;4244,642;3831,463;3559,596;3856,63;4090,697;2893,251;1873,955;990,619;318,452
75;f;Japan;392;2035;2464,154;2429,715;2428,662;2520,072;2693,673;2855,905;2942,407;3039,948;3021,087;3280,232;3722,177;4195,015;4782,625;4172,504;3718,413;3378,51;3522,414;3495,593;2192,951;1138,146;434,416
75;f;Japan;392;2040;2489,974;2467,279;2432,344;2443,892;2546,589;2717,765;2872,786;2952,67;3044,814;3021,185;3274,083;3705,22;4158,015;4706,734;4057,38;3541,635;3105,748;3045,538;2703,737;1374,629;542,948
75;f;Japan;392;2045;2461,481;2493,13;2469,918;2447,596;2470,48;2570,822;2734,833;2883,266;2957,888;3045,314;3016,499;3260,661;3674,913;4096,283;4584,801;3876,368;3273,739;2711,612;2394,581;1738,212;683,622
75;f;Japan;392;2050;2374,068;2464,669;2495,776;2485,181;2474,22;2494,801;2588,043;2745,52;2888,743;2958,847;3041,135;3005,225;3235,803;3623,628;3996,371;4392,064;3600,198;2881,734;2160,841;1571,381;886,359
